SHOW_GUIDE_TITLE,DATE,START_TIME,END_TIME,LOCATION,CATEGORY,PRESENT_IN_STAGING,STAGING_TITLE,STAGING_TIME,STAGING_LOCATION,MATCH,RECOMMENDED_ACTION,CONFIDENCE
Church Service,2026-09-20,2:30 PM,,CKNX Centennial Pavilion (GFO Stage),Church Service,yes,Church Service,2:30 PM,CKNX Centennial Pavilion (GFO Stage),exact,No change,HIGH
Weekend Never Ends,2026-09-21,7:00 PM,10:00 PM,The Bruce RV Park,The Bruce RV Park - Nightly Entertainment,yes,Weekend Never Ends,7:00 PM–10:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,conflict,LOCATION CONFLICT: Guide 'The Bruce RV Park' vs staging 'CKNX Centennial Pavilion (GFO Stage) Lounge'. Prefer Guide physical venue (Bruce RV Park ≠ CKNX Lounge).,HIGH
Bruce Power Opening Day Parade,2026-09-22,10:00 AM,,Parade route (Guide does not specify assembly point),Parade Week,yes,Bruce Power Opening Day Parade,10:00 AM,Parade route coming soon,exact,No change,HIGH
Opening Ceremonies,2026-09-22,11:30 AM,1:30 PM,Ontario Mutuals Main Stage in the Britespan Building,Ontario Mutuals Main Stage,yes,Opening Ceremonies,11:30 AM–1:00 PM,Ontario Mutuals Main Stage - In the Britespan Building,conflict,TIME CONFLICT: Guide 11:30 AM–1:30 PM vs staging 11:30 AM–1:00 PM. Prefer Show Guide unless newer revised entertainment PDF documents staging times.,HIGH
Dave & The Retros,2026-09-22,1:30 PM,3:00 PM,Ontario Mutuals Main Stage in the Britespan Building,Ontario Mutuals Main Stage,yes,Dave & The Retros,1:30 PM–3:00 PM,Ontario Mutuals Main Stage - In the Britespan Building,exact,No change,HIGH
Susan Briggs,2026-09-22,3:00 PM,5:00 PM,Ontario Mutuals Main Stage in the Britespan Building,Ontario Mutuals Main Stage,yes,Susan Briggs,3:30 PM–5:00 PM,Ontario Mutuals Main Stage - In the Britespan Building,conflict,TIME CONFLICT: Guide 3:00 PM–5:00 PM vs staging 3:30 PM–5:00 PM. Prefer Show Guide unless newer revised entertainment PDF documents staging times.,HIGH
Riverside Blues Band,2026-09-22,1:30 PM,3:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,CKNX Centennial Pavilion (GFO Stage) Lounge,yes,Riverside Blues Band,1:30 PM–3:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,exact,No change,HIGH
"He Said, She Said",2026-09-22,3:30 PM,5:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,CKNX Centennial Pavilion (GFO Stage) Lounge,yes,"He Said, She Said",3:30 PM–5:00 PM,CKNX Centennial Pavilion (GFO Stage) Lounge,exact,No change,HIGH
Tractors,2026-09-22,9:30 AM,,Plowing Fields,Plowing,yes,Tractor Plowing,9:30 AM,Plowing Fields,exact,No change,HIGH
Horse Plowing,2026-09-22,10:00 AM,,Plowing Fields,Plowing,yes,Horse Plowing,10:00 AM,Plowing Fields,exact,No change,HIGH
Tractors,2026-09-22,11:00 AM,,Plowing Fields,Plowing,yes,Tractor Plowing,11:00 AM,Plowing Fields,exact,No change,HIGH
Gregglea Clydesdales,2026-09-22,11:00 AM,,RAM Truck Corral,RAM Truck Corral,no,,,,missing,Guide lists Gregglea Clydesdales Tue 11:00 AM (TBC) at RAM Truck Corral — missing in staging; confirm then add.,MEDIUM
Canadian Cowgirls Precision Drill Team,2026-09-22,2:00 PM,,RAM Truck Corral,RAM Truck Corral,yes,Canadian Cowgirls Precision Drill Team,2:00 PM,RAM Truck Corral,exact,No change,HIGH
"Beef Farmers of Ontario, FARMER OLYMPICS, PLOWING MATCH STYLE",2026-09-22,3:00 PM,,RAM Truck Corral,RAM Truck Corral,yes,"Beef Farmers of Ontario, Farmer Olympics, Plowing Match Style",3:00 PM,RAM Truck Corral,exact,No change,HIGH
Start of Day Movement - Definition Fitness,2026-09-22,10:00 AM,10:15 AM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Christie Thomson — Definition Fitness,10:00 AM–10:15 AM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Aaniin Collective,2026-09-22,10:15 AM,10:50 AM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Aaniin Collective (Hannah Wheeler),10:15 AM–10:50 AM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Davishill Nursery,2026-09-22,10:50 AM,11:20 AM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Davishill Nursery,10:50 AM–11:20 AM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Sleepers Bed Gallery,2026-09-22,11:25 AM,11:45 AM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Sleepers Bed Gallery (Sadie Al),11:25 AM–11:45 AM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Carrick Farm Market,2026-09-22,12:00 PM,12:30 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Carrick Farm Market,12:00 PM–12:30 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Harley's Charcuterie,2026-09-22,12:30 PM,1:00 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Harley's Pub and Perk - Charcuterie,12:30 PM–1:00 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Liesemer Home Hardware - Meat Smoking,2026-09-22,1:00 PM,1:30 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Liesemer Home Hardware - Meat Smoking,1:00 PM–1:30 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Photography Beitz Studio,2026-09-22,1:45 PM,2:15 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Photography Beitz Studios,1:45 PM–2:15 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
MakeUp Artist - Hayley Wilhelm,2026-09-22,2:15 PM,2:45 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Hayley Wilhelm MUA,2:15 PM–2:45 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
West Shore,2026-09-22,2:45 PM,3:10 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,West Shore Clothing and Surf Shop,2:45 PM–3:10 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Makeover Reveal!,2026-09-22,3:10 PM,3:15 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Makeover Reveal!,3:10 PM–3:15 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
The Space Between,2026-09-22,3:30 PM,4:00 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,The Space Between with Alicia,3:30 PM–4:00 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
The Nature Babe,2026-09-22,4:00 PM,4:30 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,The Nature Babe,4:00 PM–4:30 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
The WOMB - Bruce County,2026-09-22,4:30 PM,5:00 PM,MNP Lifestyles Tent,MNP Lifestyles Tent,yes,Jessica Connor & Rebecca Grubb — The WOMB Bruce County,4:30 PM–5:00 PM,The Beyond Wireless Stage,exact,No change (staging stage name more precise than Guide parent tent),HIGH
Great Canadian Lumberjack Show,2026-09-22,10:30 AM,,Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38),Great Canadian Lumberjack Show,yes,Great Canadian Lumberjack Show,10:30 AM,,partial,Staging location_name blank; Guide/exhibitor has 'Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38)'. Backfill after Marc confirms official string (Lumberjack → punch list E-001…E-015).,HIGH
Great Canadian Lumberjack Show,2026-09-22,1:00 PM,,Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38),Great Canadian Lumberjack Show,yes,Great Canadian Lumberjack Show,1:00 PM,,partial,Staging location_name blank; Guide/exhibitor has 'Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38)'. Backfill after Marc confirms official string (Lumberjack → punch list E-001…E-015).,HIGH
Great Canadian Lumberjack Show,2026-09-22,3:00 PM,,Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38),Great Canadian Lumberjack Show,yes,Great Canadian Lumberjack Show,3:00 PM,,partial,Staging location_name blank; Guide/exhibitor has 'Great Canadian Lumberjack Show area (exhibitor footprint 1A-35-38)'. Backfill after Marc confirms official string (Lumberjack → punch list E-001…E-015).,HIGH
Foxton Fuels Farmall Square Dancing Tractors,2026-09-22,11:00 AM,,Event Centre #1 — West 2,Event Centre #1,yes,Foxton Fuels Farmall Square Dancing Tractors,11:00 AM,Event Centre #1 — West 2,exact,No change,HIGH
Lawn Mower Races (to be confirmed),2026-09-22,3:30 PM,,Event Centre #1 — West 2,Event Centre #1,no,,,,missing,Guide TBC item absent from staging — confirm with organizers before adding; do not invent.,MEDIUM
