Name,Type
Dairy Farmers of Ontario,Food
Chris's Barbeque and Country Style Catering,Food
Jeff's Catering,Food
Beef Farmers of Ontario & Bruce County Beef Farmers,Indoor
Ben Lobb Member of Parliament for Huron Bruce,Indoor
Brightshores Health System - Saugeen Shores Hospital Foundation,Indoor
Bruce County Federation of Agriculture,Indoor
Canadian Foodgrains Bank,Indoor
Dairy Farmers of Ontario,Indoor
Galaxy Sweets,Indoor
Joe Carter - Group Benefits Specialist,Indoor
Mike's Wood,Indoor
Nana's Sewing Basket,Indoor
Norwex,Indoor
Rural Home Care,Indoor
A&M Truck Parts Ltd,Indoor
Agilec Employment Services,Indoor
Agriculture and Agri-Food Canada,Indoor
AmSpec Group,Indoor
Armtec,Indoor
Bernie McGlynn Lumber / South Bruce Flooring,Indoor
Bluewater District School Board,Indoor
Bruce Grey Catholic District School Board,Indoor
Canadian Snowbird Association,Indoor
Christadelphians: ASK,Indoor
Christian Farmers Federation of Ontario,Indoor
CMHA Grey Bruce,Indoor
Egg Farmers of Ontario,Indoor
Electrical Safety Authority,Indoor
Equestrian Elite,Indoor
ETFO Bluewater Local,Indoor
Flora and Fae,Indoor
Fort44 Inc.,Indoor
Freiburger Welding,Indoor
Grey Bruce Public Health,Indoor
Guelph Solar,Indoor
HearingLife Canada,Indoor
Huron County,Indoor
Kincardine & Community Health Care Foundation,Indoor
LeafFilter Gutter Protection,Indoor
McDougall Energy Inc.,Indoor
MPAC - Municipal Property Assessment Corporation,Indoor
Natural Stitch Designs,Indoor
Northern Flyer Design (Ken Thornburn),Indoor
Oasis Therapy,Indoor
Ontario Fur Managers Federation,Indoor
Ontario Phragmites Action,Indoor
Ontario Youth Apprenticeship Program (OYAP),Indoor
Paisley Drive Designs,Indoor
"Parrish & Heimbecker, Ltd",Indoor
PIKA PIKA,Indoor
Playtime Casino Hanover,Indoor
Saugeen Economic Development Corporation,Indoor
Schmidt's Farm Drainage,Indoor
Susan Seitz,Indoor
SV Law,Indoor
Teeswater Laser,Indoor
The Insurance Market,Indoor
The Miller Group,Indoor
The Quilt Jeannie,Indoor
The WOMB Bruce County,Indoor
Thede Acres Alpacas,Indoor
TreeGirl Henna,Indoor
Walkerton Clean Water Centre,Indoor
Wildflower Designs,Indoor
Wilson Developments,Indoor
YMCA Owen Sound Grey Bruce - Employment Services,Indoor
Beef Farmers of Ontario & Bruce County Beef Farmers,Outdoor
Dairy Farmers of Ontario,Outdoor
Fellowship of Christian Farmers Canada,Outdoor
Gay Lea Foods Co-operative Ltd.,Outdoor
Hallman Motors Ltd,Outdoor
iLGi Canada,Outdoor
Lambton Conveyor Ltd,Outdoor
Leslie Motors Ford,Outdoor
McCullough Tirecraft,Outdoor
OK Tire Kincardine,Outdoor
Ontario Landowners Association,Outdoor
Royal Homes,Outdoor
Starbright Industry Inc.,Outdoor
StumpedIt,Outdoor
Township of North Huron,Outdoor
Treemendous Tree Sales & Transplanting,Outdoor
Accurate Canada,Outdoor
B&L Farm Services Ltd.,Outdoor
Bailey Repair Services Ltd.,Outdoor
Broeders Farm Equipment,Outdoor
Cottrill Heavy Equipment,Outdoor
Crop Aid Nutrition,Outdoor
Cuneo Interiors Limited,Outdoor
DJ's Handcrafted Solid Wood Furniture Inc.,Outdoor
Ferntree Equipment & Distribution,Outdoor
Georgian Bay Funeral Services Association (GBFSA),Outdoor
Gospel Focus,Outdoor
Green Valley Heating Inc.,Outdoor
Harkness Equipment,Outdoor
John Ernewein Limited,Outdoor
JSC Factory Direct Inc.,Outdoor
JW Custom Fab,Outdoor
K and S Boat and Sled,Outdoor
Kenworth / TRP Hanover,Outdoor
Kreations Candy and Treats,Outdoor
Liesemers Home Hardware,Outdoor
Listowel Hearing Centre,Outdoor
Lucan Biddulph Recreation Committee,Outdoor
Marcrest Manufacturing Inc.,Outdoor
Martin's Land Management,Outdoor
Millroad Manufacturing and Sales Inc.,Outdoor
Ontario Government,Outdoor
Ontario Mutual Insurance Association,Outdoor
Ontario PC Caucus,Outdoor
Postech Screw Piles,Outdoor
Primerica,Outdoor
Reformed Evangelistic Outreach,Outdoor
Rintoul's Pools & Hot Tubs,Outdoor
RMP Metal Works,Outdoor
RONA Doidge Kincardine,Outdoor
Shouldice Stone,Outdoor
Smyth Welding & Machine Shop Ltd.,Outdoor
Sprucedale Agromart Ltd.,Outdoor
Teeswater Concrete Ltd,Outdoor
Walkerton Toyota,Outdoor
Wash Bay Products Inc,Outdoor
Water and Wellness,Outdoor
Wecover Structures,Outdoor
Weppler Farm Machinery Ltd.,Outdoor
Wonderfull Inc.,Outdoor
