name,locationLabel,boothCount,class,reason,lotCount,exactVsParent,status
"Gospel Focus, Kirkfield","4A-33-34",2,confident_lot,"lots",2,"child_w=1.384/parent_w=9.693",exact
"Grain Farmers of Ontario VIP Tent","3B-33-38",6,range_or_named,"3A/3B-25-38-mutual-square",6,"",parent_only
"Great Canadian Lumberjacks","1A-35-38",4,confident_lot,"lots",4,"child_w=2.769/parent_w=9.693",exact
"Hallman Motors Ltd., Hanover","5A-25-26",2,confident_lot,"lots",2,"child_w=1.378/parent_w=9.642",exact
"Hanover","5A-01-04",4,ambiguous,"5A-01-04-do-not-exist",0,"",unavailable
"Hanover","5A-29-31",3,confident_lot,"lots",3,"child_w=2.066/parent_w=9.642",exact
"Heatmaster (Highway 511 Heating), Perth","2A-25-27",3,confident_lot,"lots",3,"child_w=2.077/parent_w=9.693",exact
"Heavy Equipment Care Ltd.,Durham","1A-32-34",3,confident_lot,"lots",3,"child_w=2.076/parent_w=9.693",exact
"Huron Tractor Ltd., Walkerton","1A-25-27",3,confident_lot,"lots",3,"child_w=2.077/parent_w=9.693",exact
"J&H Sales and Service, Chesley","1A-13-15",3,confident_lot,"lots",3,"child_w=2.274/parent_w=9.095",exact
"Kenworth / TRP Hanover, Hanover","4A-01-03",3,confident_lot,"lots",3,"child_w=2.274/parent_w=9.095",exact
"Lambton Conveyor Ltd., Wallaceburg","1B-13-14",2,confident_lot,"lots",2,"child_w=1.516/parent_w=9.095",exact
"Leslie Motors Ford, Walkerton","5A-13-14",2,confident_lot,"lots",2,"child_w=1.508/parent_w=9.047",exact
"Maple Lane Farm Service, Mount Forest","1A-18-20",3,confident_lot,"lots",3,"child_w=2.274/parent_w=9.095",exact
"Marcrest Manufacturing Inc., Listowel","1A-22-24",3,confident_lot,"lots",3,"child_w=2.274/parent_w=9.095",exact
"Midwest Co-op, Teeswater","1B-25-27",3,confident_lot,"lots",3,"child_w=2.077/parent_w=9.693",exact
"Millroad Manufacturing & Sales","1B-23-24",2,confident_lot,"lots",2,"child_w=1.516/parent_w=9.095",exact
"Mitchell Cycle Inc., Mitchell","2A-19-20",2,confident_lot,"lots",2,"child_w=1.516/parent_w=9.095",exact
"Multi Shelter Solutions, Palmerston","2A-01-02",2,confident_lot,"lots",2,"child_w=1.516/parent_w=9.095",exact
"Northern Leisure Products Ltd., Wroxeter","4A-26-27",2,confident_lot,"lots",2,"child_w=1.385/parent_w=9.693",exact
"Ontario Government","3B-19-24",6,confident_lot,"lots",6,"child_w=4.548/parent_w=9.095",exact
"Aces Heavy Towing, Mildmay","5A-27-28",2,confident_lot,"lots",2,"child_w=1.377/parent_w=9.642",exact
"Artisan Vendors Tent","2B-33-38",6,confident_lot,"lots",6,"child_w=4.154/parent_w=9.693",exact
"B&L Farm Services Ltd., Chesley","2B-13-14",2,confident_lot,"lots",2,"child_w=1.516/parent_w=9.095",exact
"Blacks Creek Innovations, Prescott","5A-37-38",2,confident_lot,"lots",2,"child_w=1.377/parent_w=9.642",exact
"Brandt Tractors Ltd., London","1B-05-06",2,confident_lot,"lots",2,"child_w=1.516/parent_w=9.095",exact
"Britespan Main Stage Building","3B-28-32",5,range_or_named,"britespan-building-campus",0,"",parent_only
"Bruce Power","3B-07-12",6,range_or_named,"3B-07-12-bruce-power-named-tent",6,"",parent_only
"Bruce Power and Nuclear Energy Group Tent","3B-07-12",6,range_or_named,"3B-07-12-bruce-power-named-tent",6,"",parent_only
"Canadian Cowgirls","5A-05-10",6,confident_lot,"lots",6,"child_w=4.203/parent_w=5.604",exact
"First Aid and Lost Persons","3A-25-28",4,range_or_named,"3A/3B-25-38-mutual-square",4,"",parent_only
"CKNX, The One, Cook 94.5, Wingham","3A-01-03",3,confident_lot,"lots",3,"child_w=2.274/parent_w=9.095",exact
"Clifford Precision Inc., Clifford","2A-13-15",3,confident_lot,"lots",3,"child_w=2.274/parent_w=9.095",exact
"Commercial Market Tent (Exhbitors & Vendors)","4A-05-10",6,confident_lot,"lots",6,"child_w=4.547/parent_w=9.095",exact
"Coops, Crappers & Cabins, Cambridge","2A-34-35",2,confident_lot,"lots",2,"child_w=1.385/parent_w=9.693",exact
"Culligan, Cambridge","3B-01-02",2,confident_lot,"lots",2,"child_w=1.076/parent_w=3.227",exact
"Dairy Farmers of Ontario","3A-14-16",3,confident_lot,"lots",3,"child_w=2.274/parent_w=9.095",exact
"DeDell Seeds Inc., Melbourne","2B-19-20",2,confident_lot,"lots",2,"child_w=1.516/parent_w=9.095",exact
"DJ's Handcrafted Solid Wood","4A-29-30",2,confident_lot,"lots",2,"child_w=1.384/parent_w=9.693",exact
"Dodge RAM","5A-01-04",4,ambiguous,"5A-01-04-do-not-exist",0,"",unavailable
"Equipment Ontario, Mildmay","1A-10-12",3,confident_lot,"lots",3,"child_w=2.274/parent_w=9.095",exact
"Fellowship of Christian Farmers","2A-17-18",2,confident_lot,"lots",2,"child_w=1.516/parent_w=9.095",exact
"Foxton Fuels Limited, Wingham","2B-10-12",3,confident_lot,"lots",3,"child_w=2.274/parent_w=9.095",exact
"Gay Lea Foods Co-operative Ltd","2B-03-04",2,confident_lot,"lots",2,"child_w=1.516/parent_w=9.095",exact
"4B 17-22)","4A-16-21, 4B-17-22",12,confident_lot,"lots",12,"child_w=5.306/parent_w=5.306",exact
"Agilec Employment Services, Wingham","4A-16-21, 4B-17-22",12,confident_lot,"lots",12,"child_w=5.306/parent_w=5.306",exact
"Alair Homes Huron, Southampton","4A-16-21, 4B-17-22",12,confident_lot,"lots",12,"child_w=5.306/parent_w=5.306",exact
"Ben Lobb Member of Parliament for Huron Bruce, Goderich","4A-16-21, 4B-17-22",12,confident_lot,"lots",12,"child_w=5.306/parent_w=5.306",exact
"Bernie McGlynn Lumber / South","4A-16-21, 4B-17-22",12,confident_lot,"lots",12,"child_w=5.306/parent_w=5.306",exact
"Bruce Flooring, Mildmay","4A-16-21, 4B-17-22",12,confident_lot,"lots",12,"child_w=5.306/parent_w=5.306",exact
"Bruce/Grey Owen Sound Constituency","4A-16-21, 4B-17-22",12,confident_lot,"lots",12,"child_w=5.306/parent_w=5.306",exact
"Association, Green Party of Ontario","4A-16-21, 4B-17-22",12,confident_lot,"lots",12,"child_w=5.306/parent_w=5.306",exact
"Buddsteel Architectural Products, Teeswater","4A-16-21, 4B-17-22",12,confident_lot,"lots",12,"child_w=5.306/parent_w=5.306",exact
"Canadian Snowbird Association, Toronto","4A-16-21, 4B-17-22",12,confident_lot,"lots",12,"child_w=5.306/parent_w=5.306",exact
"CarePartners - Exploring Healthcare","4A-16-21, 4B-17-22",12,confident_lot,"lots",12,"child_w=5.306/parent_w=5.306",exact
"Careers in Rural Ontario, Waterloo","4A-16-21, 4B-17-22",12,confident_lot,"lots",12,"child_w=5.306/parent_w=5.306",exact
"Christadelphians: ASK, Brantford","4A-16-21, 4B-17-22",12,confident_lot,"lots",12,"child_w=5.306/parent_w=5.306",exact
"CMHA Grey Bruce, Owen Sound","4A-16-21, 4B-17-22",12,confident_lot,"lots",12,"child_w=5.306/parent_w=5.306",exact
"Croskill Overhead Doors, Listowel","4A-16-21, 4B-17-22",12,confident_lot,"lots",12,"child_w=5.306/parent_w=5.306",exact
"Electrical Safety Authority, Sudbury","4A-16-21, 4B-17-22",12,confident_lot,"lots",12,"child_w=5.306/parent_w=5.306",exact
"ENJO Canada, Tiverton","4A-16-21, 4B-17-22",12,confident_lot,"lots",12,"child_w=5.306/parent_w=5.306",exact
"Freiburger Welding, Walkerton","4A-16-21, 4B-17-22",12,confident_lot,"lots",12,"child_w=5.306/parent_w=5.306",exact
"Grey Bruce Public Health, Owen Sound","4A-16-21, 4B-17-22",12,confident_lot,"lots",12,"child_w=5.306/parent_w=5.306",exact
"Harry Buurma - free bibles, Watford","4A-16-21, 4B-17-22",12,confident_lot,"lots",12,"child_w=5.306/parent_w=5.306",exact
"HDTV & Electronics, Walkerton","4A-16-21, 4B-17-22",12,confident_lot,"lots",12,"child_w=5.306/parent_w=5.306",exact
"Huron County","4A-16-21, 4B-17-22",12,confident_lot,"lots",12,"child_w=5.306/parent_w=5.306",exact
"Kincardine & Community Health Care","4A-16-21, 4B-17-22",12,confident_lot,"lots",12,"child_w=5.306/parent_w=5.306",exact
"Ontario Mutual Insurance Association","3A-20-24",5,confident_lot,"lots",5,"child_w=3.789/parent_w=9.095",exact
"Britespan Building","3B-28-32",5,range_or_named,"britespan-building-campus",0,"",parent_only
"Welcome Centre","3B-25-27",3,range_or_named,"britespan-building-campus",0,"",parent_only
"Ontario Provincial Police - South Bruce","5A-15-16",2,confident_lot,"lots",2,"child_w=1.508/parent_w=9.047",exact
"Partnership Park","3A-29-35",7,range_or_named,"3A/3B-25-38-mutual-square",7,"",parent_only
"Quality Homes, Kenilworth","3A-09-12",4,confident_lot,"lots",4,"child_w=3.032/parent_w=9.095",exact
"Quilt Tent","3A-39-44",6,range_or_named,"trusted-parent-only-range",0,"",parent_only
"Rintoul’s Pools & Hot Tubs, Owen Sound","2B-30-31",2,confident_lot,"lots",2,"child_w=1.384/parent_w=9.693",exact
"Robert’s Equipment, Chesley","1A-01-04",4,confident_lot,"lots",4,"child_w=3.032/parent_w=9.095",exact
"RONA Doidge Kincardine, Kincardine","2A-36-38",3,confident_lot,"lots",3,"child_w=2.077/parent_w=9.693",exact
"Royal Homes, Wingham","2A-31-32",2,confident_lot,"lots",2,"child_w=1.385/parent_w=9.693",exact
"Canadian Propane Association","3B-39-44",6,range_or_named,"trusted-parent-only-range",0,"",parent_only
"Smyth Welding & Machine Shop Ltd., Auburn","1A-30-31",2,confident_lot,"lots",2,"child_w=1.384/parent_w=9.693",exact
