Exhibitor,Sharon category,Sept 17 stated lot,Review status,Existing possible record
Bruce County,Outdoor,East 1,Missing directory name with explicit lot — outside indoor-addition scope,
Chepstow & District Lions Club,Food,3A 17-18 **,Missing directory name with explicit lot — outside indoor-addition scope,
Doc MacCheesey,Food,2A 37,Missing directory name with explicit lot — outside indoor-addition scope,
Fruitage of the Field,Outdoor,4B 24,Missing directory name with explicit lot — outside indoor-addition scope,Old Country Leather also lists 4B 24; sharing not established
Hanover Chrysler Dodge Jeep Ram Limited,Outdoor,5A 01-04,Possible truncated existing identity — do not duplicate,DODGE DEALERS at 5A-01-04
Hanover Honda & Hanover Volkswagen,Outdoor,5A 29-31,Possible truncated existing identity — do not duplicate,Hanover at 5A-29-31
Iron-Haven Structures,Outdoor,1B 35**,Missing directory name with explicit lot — outside indoor-addition scope,
Little Bowl,Food,4B 10 **,Missing directory name with explicit lot — outside indoor-addition scope,
The Back 40 Smoke Box,Food,4B 33 **,Missing directory name with explicit lot — outside indoor-addition scope,
Tilly's Fresh Fair Style Lemonade,Food,3B 05 **,Missing directory name with explicit lot — outside indoor-addition scope,
Turquesa Mexican Food,Food,2B 25 **,Missing directory name with explicit lot — outside indoor-addition scope,
Walkerton & District Hospital Foundation,Outdoor,3B 06,Possible truncated existing identity — do not duplicate,Walkerton at 3B-06
Women's House Serving Bruce and Grey,Outdoor,4B 06,Possible truncated existing identity — do not duplicate,Kincardine at 4B-06
