Exhibitor print name,Company,Sharon category,Proven containing area,Area identifier,Sept 17 Excel row,Status
2 Farmers & a Cow Ice Cream Co.,2 Farmers & a Cow Ice Cream Co.,Commercial,Commercial Market Tent,4A 05–10,2,ADDED TO NON-PRODUCTION CANDIDATE
Action First Aid,Action First Aid,Commercial,Commercial Market Tent,4A 05–10,7,ADDED TO NON-PRODUCTION CANDIDATE
Alair Homes Huron,Alair Homes Hyrib (2748000 OnInc),Rural Living 1,Rural Living Tent #1,4A 16–21,11,ADDED TO NON-PRODUCTION CANDIDATE
All Star Metals Inc.,All Star Metals Inc.,Commercial,Commercial Market Tent,4A 05–10,12,ADDED TO NON-PRODUCTION CANDIDATE
Aqwa Building Solutions,Aqwa Building Solutions,Rural Living 1,Rural Living Tent #1,4A 16–21,14,ADDED TO NON-PRODUCTION CANDIDATE
Avenir Energy,Avenir Energy,Rural Expo Courtyard,Rural Expo Courtyard,3B 39–44,16,ADDED TO NON-PRODUCTION CANDIDATE
Better Farming | Small Farm Canada,AgMedia Inc,Agriculture,Teeswater Concrete Farming for the Future Tent,1B 16–22,25,ADDED TO NON-PRODUCTION CANDIDATE
Bruce County Genealogical Society,Bruce County Genealogical Society,Antiques,Antiques and Historical Areas,South 2 & 3,33,ADDED TO NON-PRODUCTION CANDIDATE
Bruce County Historical Society,Bruce County Historical Society,Antiques,Antiques and Historical Areas,South 2 & 3,34,ADDED TO NON-PRODUCTION CANDIDATE
"Bruce/Grey Owen Sound Constituency Association, Green Party of Ontario","Bruce/Grey Owen Sound Constituency Association, Green Party of Ontario",Rural Living 2,Rural Living Tent #2,4B 17–22,38,ADDED TO NON-PRODUCTION CANDIDATE
Buddsteel Architectural Products,Buddsteel Architectural Products  ,Rural Living 1,Rural Living Tent #1,4A 16–21,39,ADDED TO NON-PRODUCTION CANDIDATE
Canada Clean Fuels,Canada Clean Fuels Inc.,Agriculture,Teeswater Concrete Farming for the Future Tent,1B 16–22,40,ADDED TO NON-PRODUCTION CANDIDATE
