name,category,tent,locationIds,booths
"(GBFSA), Hanover",outdoor,,4B-05,4B-05
"GGS Structures Inc., Vineland Station",outdoor,,2B-23,2B-23
"Gospel Focus, Kirkfield",outdoor,,4A-33-34,4A-33|4A-34
Grain Farmers of Ontario VIP Tent,outdoor,,3B-33-38,3B-33|3B-34|3B-35|3B-36|3B-37|3B-38
Great Canadian Lumberjacks,outdoor,,1A-35-38,1A-35|1A-36|1A-37|1A-38
"Green Valley Heating Inc., Granton",outdoor,,4B-28,4B-28
"Hallman Motors Ltd., Hanover",outdoor,,5A-25-26,5A-25|5A-26
Hanover,outdoor,,5A-01-04,5A-01|5A-02|5A-03|5A-04
Hanover,outdoor,,5A-29-31,5A-29|5A-30|5A-31
"Harkness Equipment, Harriston",outdoor,,1B-15,1B-15
"Heatmaster (Highway 511 Heating), Perth",outdoor,,2A-25-27,2A-25|2A-26|2A-27
"Heavy Equipment Care Ltd.,Durham",outdoor,,1A-32-34,1A-32|1A-33|1A-34
"Highland Outbuildings, Angus",outdoor,,4A-28,4A-28
"Hip Town Hype, Trent Lakes",outdoor,,4A-14,4A-14
"HLR Hydraulic Line Repair, Orangeville",outdoor,,1B-28,1B-28
"Huron Tractor Ltd., Walkerton",outdoor,,1A-25-27,1A-25|1A-26|1A-27
Huronia Welding,outdoor,,1A-29,1A-29
Hydro One,outdoor,,EAST-5,EAST-5
"Hydro One Education Centre South 4 iLGi Canada, St. Agatha",outdoor,,1A-05,1A-05
"J&H Sales and Service, Chesley",outdoor,,1A-13-15,1A-13|1A-14|1A-15
"John Ernewein Limited, Walkerton",outdoor,,1B-29,1B-29
"JSC Factory Direct Inc., Barrie",outdoor,,4B-13,4B-13
"JW Custom Fab, Cargill",outdoor,,2A-16,2A-16
"K and S Boat and Sled, Hanover",outdoor,,4B-34,4B-34
"Kenworth / TRP Hanover, Hanover",outdoor,,4A-01-03,4A-01|4A-02|4A-03
"Kodiak Boots, Cambridge",outdoor,,2B-06,2B-06
"Kreations Candy and Treats, Hanover",outdoor,,4B-34,4B-34
"Krown Rust Control, Schomberg",outdoor,,5A-20,5A-20
"Lambton Conveyor Ltd., Wallaceburg",outdoor,,1B-13-14,1B-13|1B-14
"Leslie Motors Ford, Walkerton",outdoor,,5A-13-14,5A-13|5A-14
"Liesemers Home Hardware, Mildmay",outdoor,,4A-25,4A-25
"Lil’ Country Woodshop Ltd., Alma",outdoor,,4B-25,4B-25
"Listowel Hearing Centre, Listowel",outdoor,,4B-07,4B-07
